OPEN;CLOSE;HIGH;LOW;TIMESTAMP;TIME;TEXT
91.43;91.33;91.44;91.29;1412280900000;Thu Oct 02 22:15:00 CEST 2014;91.43 91.44 Oct 2 22:15 91.33 91.29
91.33;91.38;91.38;91.31;1412281200000;Thu Oct 02 22:20:00 CEST 2014;91.33 91.38 Oct 2 22:20 91.38 91.31
91.38;91.34;91.39;91.34;1412281500000;Thu Oct 02 22:25:00 CEST 2014;91.38 91.39 Oct 2 22:25 91.34 91.34
91.34;91.39;91.39;91.33;1412281800000;Thu Oct 02 22:30:00 CEST 2014;91.34 91.39 Oct2 22:30 91.39 91.33
91.39;91.42;91.42;91.37;1412282100000;Thu Oct 02 22:35:00 CEST 2014;91.39 91.42 Oct 2 22:35 91.42 91.37
91.42;91.36;91.42;91.36;1412282400000;Thu Oct 02 22:40:00 CEST 2014;91.42 91.42 Oct 2 22:40 91.36 91.36
91.36;91.37;91.39;91.36;1412282700000;Thu Oct 02 22:45:00 CEST 2014;91.36 91.39 Oct 2 22:45 91.37 91.36
91.37;91.37;91.37;91.36;1412283000000;Thu Oct 02 22:50:00 CEST 2014;91.37 91.37 Oct2 22:50 91.37 91.36
91.37;91.39;91.41;91.37;1412283300000;Thu Oct 02 22:55:00 CEST 2014;91.37 91.41 Oct 2 22:55 91.39 91.37
91.39;91.34;91.39;91.34;1412283600000;Thu Oct 02 23:00:00 CEST 2014;91.39 91.39 Oct2 23:00 91.34 91.34
91.34;91.34;91.36;91.33;1412283900000;Thu Oct 02 23:05:00 CEST 2014;91.34 91.36 Oct2 23:05 91.34 91.33
91.34;91.34;91.34;91.34;1412284200000;Thu Oct 02 23:10:00 CEST 2014;91.34 91.34 Oct2 23:10 91.34 91.34
91.34;91.22;91.34;91.22;1412284500000;Thu Oct 02 23:15:00 CEST 2014;91.34 91.34 Oct2 23:15 91.22 91.22
91.22;91.27;91.27;91.18;1412287200000;Fri Oct 03 00:00:00 CEST 2014;91.22 91.27 Oct 3 00:00 91.27 91.18
91.27;91.27;91.27;91.24;1412287500000;Fri Oct 03 00:05:00 CEST 2014;91.27 91.27 Oct 3 00:05 91.27 91.24
91.27;91.22;91.27;91.22;1412287800000;Fri Oct 03 00:10:00 CEST 2014;91.27 91.27 Oct 3 00:10 91.22 91.22
91.22;91.23;91.23;91.21;1412288100000;Fri Oct 03 00:15:00 CEST 2014;91.22 91.23 Oct 3 00:15 91.23 91.21
91.23;91.22;91.24;91.22;1412288400000;Fri Oct 03 00:20:00 CEST 2014;91.23 91.24 Oct 3 00:20 91.22 91.22
91.22;91.21;91.22;91.17;1412288700000;Fri Oct 03 00:25:00 CEST 2014;91.22 91.22 Oct 3 00:25 91.21 91.17
91.21;91.13;91.21;91.13;1412289000000;Fri Oct 03 00:30:00 CEST 2014;91.21 91.21 Oct 3 00:30 91.13 91.13
91.13;91.14;91.14;91.13;1412289300000;Fri Oct 03 00:35:00 CEST 2014;91.13 91.14 OCt3OOI35 91.14 91.13
91.14;91.11;91.14;91.11;1412289600000;Fri Oct 03 00:40:00 CEST 2014;91.14 91.14 OCt3OOI4O 91.11 91.11
91.11;91.04;91.11;91.02;1412289900000;Fri Oct 03 00:45:00 CEST 2014;91.11 91.11 OCt3OOI45 91.04 91.02
91.04;91.04;91.07;91.04;1412290200000;Fri Oct 03 00:50:00 CEST 2014;91.04 91.07 Oct 3 00:50 91.04 91.04
91.04;91.03;91.04;91.02;1412290500000;Fri Oct 03 00:55:00 CEST 2014;91.04 91.04 Oct 3 00:55 91.03 91.02
91.03;91.07;91.08;91.03;1412290800000;Fri Oct 03 01:00:00 CEST 2014;91.03 91.08 Oct 3 01:00 91.07 91.03
91.07;91.09;91.09;91.07;1412291100000;Fri Oct 03 01:05:00 CEST 2014;91.07 91.09 Oct 3 01:05 91.09 91.07
91.09;91.09;91.11;91.08;1412291400000;Fri Oct 03 01:10:00 CEST 2014;91.09 91.11 OCt301I1O 91.09 91.08
91.09;91.11;91.11;91.06;1412291700000;Fri Oct 03 01:15:00 CEST 2014;91.09 91.11 Oct301z15 91.11 91.06
91.11;91.12;91.14;91.11;1412292000000;Fri Oct 03 01:20:00 CEST 2014;91.11 91.14 Oct301z20 91.12 91.11
91.12;91.12;91.12;91.09;1412292300000;Fri Oct 03 01:25:00 CEST 2014;91.12 91.12 Oct301z25 91.12 91.09
91.12;91.14;91.14;91.11;1412292600000;Fri Oct 03 01:30:00 CEST 2014;91.12 91.14 Oct301z30 91.14 91.11
91.14;91.18;91.18;91.12;1412292900000;Fri Oct 03 01:35:00 CEST 2014;91.14 91.18 OCt301I35 91.18 91.12
91.18;91.18;91.18;91.16;1412293200000;Fri Oct 03 01:40:00 CEST 2014;91.18 91.18 OCt301I4O 91.18 91.16
91.18;91.17;91.19;91.17;1412293500000;Fri Oct 03 01:45:00 CEST 2014;91.18 91.19 Oct301z45 91.17 91.17
91.17;91.14;91.17;91.14;1412293800000;Fri Oct 03 01:50:00 CEST 2014;91.17 91.17 Oct301z50 91.14 91.14
91.14;91.13;91.17;91.11;1412294100000;Fri Oct 03 01:55:00 CEST 2014;91.14 91.17 Oct301z55 91.13 91.11
91.13;91.11;91.13;91.09;1412294400000;Fri Oct 03 02:00:00 CEST 2014;91.13 91.13 Oct302:OO 91.11 91.09
91.11;91.14;91.18;91.11;1412294700000;Fri Oct 03 02:05:00 CEST 2014;91.11 91.18 Oct302zO5 91.14 91.11
91.14;91.19;91.19;91.14;1412295000000;Fri Oct 03 02:10:00 CEST 2014;91.14 91.19 Oct302:1O 91.19 91.14
91.19;91.17;91.19;91.17;1412295300000;Fri Oct 03 02:15:00 CEST 2014;91.19 91.19 Oct302z15 91.17 91.17
91.17;91.19;91.19;91.17;1412295600000;Fri Oct 03 02:20:00 CEST 2014;91.17 91.19 Oct302z20 91.19 91.17
91.19;91.14;91.19;91.14;1412295900000;Fri Oct 03 02:25:00 CEST 2014;91.19 91.19 Oct302z25 91.14 91.14
91.14;91.12;91.14;91.12;1412296200000;Fri Oct 03 02:30:00 CEST 2014;91.14 91.14 OCt302:30 91.12 91.12
91.12;91.13;91.13;91.12;1412296500000;Fri Oct 03 02:35:00 CEST 2014;91.12 91.13 Oct302z35 91.13 91.12
91.13;91.09;91.13;91.07;1412297100000;Fri Oct 03 02:45:00 CEST 2014;91.13 91.13 Oct302z45 91.09 91.07
91.09;91.14;91.14;91.09;1412297400000;Fri Oct 03 02:50:00 CEST 2014;91.09 91.14 Oct302:5O 91.14 91.09
91.14;91.11;91.14;91.09;1412297700000;Fri Oct 03 02:55:00 CEST 2014;91.14 91.14 OCt302:55 91.11 91.09
91.11;91.06;91.11;91.06;1412298000000;Fri Oct 03 03:00:00 CEST 2014;91.11 91.11 OCt303IOO 91.06 91.06
91.06;91.07;91.08;91.06;1412298300000;Fri Oct 03 03:05:00 CEST 2014;91.06 91.08 Oct 3 03:05 91.07 91.06
91.07;91.07;91.08;91.07;1412298600000;Fri Oct 03 03:10:00 CEST 2014;91.07 91.08 Oct 3 03:10 91.07 91.07
91.07;91.14;91.18;91.07;1412298900000;Fri Oct 03 03:15:00 CEST 2014;91.07 91.18 Oct303z15 91.14 91.07
91.14;91.14;91.14;91.14;1412299200000;Fri Oct 03 03:20:00 CEST 2014;91.14 91.14 OCt303:20 91.14 91.14
91.14;91.13;91.14;91.13;1412299800000;Fri Oct 03 03:30:00 CEST 2014;91.14 91.14 OCt303I3O 91.13 91.13
91.13;91.13;91.13;91.13;1412300100000;Fri Oct 03 03:35:00 CEST 2014;91.13 91.13 Oct303z35 91.13 91.13
91.13;91.14;91.14;91.13;1412300400000;Fri Oct 03 03:40:00 CEST 2014;91.13 91.14 OCt303I4O 91.14 91.13
91.14;91.17;91.19;91.14;1412300700000;Fri Oct 03 03:45:00 CEST 2014;91.14 91.19 Oct303z45 91.17 91.14
91.17;91.09;91.17;91.09;1412301000000;Fri Oct 03 03:50:00 CEST 2014;91.17 91.17 OCt303:50 91.09 91.09
91.09;91.14;91.14;91.09;1412301300000;Fri Oct 03 03:55:00 CEST 2014;91.09 91.14 Oct303z55 91.14 91.09
91.14;91.19;91.19;91.13;1412301600000;Fri Oct 03 04:00:00 CEST 2014;91.14 91.19 OCt304IOO 91.19 91.13
91.19;91.17;91.19;91.17;1412301900000;Fri Oct 03 04:05:00 CEST 2014;91.19 91.19 Oct304zO5 91.17 91.17
91.17;91.14;91.19;91.14;1412302200000;Fri Oct 03 04:10:00 CEST 2014;91.17 91.19 OCt304I1O 91.14 91.14
91.14;91.14;91.17;91.13;1412302500000;Fri Oct 03 04:15:00 CEST 2014;91.14 91.17 Oct304z15 91.14 91.13
91.14;91.17;91.17;91.14;1412303100000;Fri Oct 03 04:25:00 CEST 2014;91.14 91.17 Oct304z25 91.17 91.14
91.17;91.17;91.18;91.17;1412303400000;Fri Oct 03 04:30:00 CEST 2014;91.17 91.18 OCt304I3O 91.17 91.17
91.17;91.19;91.19;91.17;1412303700000;Fri Oct 03 04:35:00 CEST 2014;91.17 91.19 OCt304I35 91.19 91.17
91.19;91.31;91.32;91.17;1412304000000;Fri Oct 03 04:40:00 CEST 2014;91.19 91.32 Oct 3 04:40 91.31 91.17
91.31;91.29;91.32;91.27;1412304300000;Fri Oct 03 04:45:00 CEST 2014;91.31 91.32 Oct 3 04:45 91.29 91.27
91.29;91.29;91.29;91.26;1412304600000;Fri Oct 03 04:50:00 CEST 2014;91.29 91.29 Oct 3 04:50 91.29 91.26
91.29;91.28;91.29;91.28;1412304900000;Fri Oct 03 04:55:00 CEST 2014;91.29 91.29 Oct 3 04:55 91.28 91.28
91.28;91.32;91.32;91.28;1412305200000;Fri Oct 03 05:00:00 CEST 2014;91.28 91.32 Oct 3 05:00 91.32 91.28
91.32;91.34;91.34;91.31;1412305500000;Fri Oct 03 05:05:00 CEST 2014;91.32 91.34 Oct 3 05:05 91.34 91.31
91.34;91.39;91.39;91.34;1412305800000;Fri Oct 03 05:10:00 CEST 2014;91.34 91.39 Oct 3 05:10 91.39 91.34
91.39;91.53;91.53;91.39;1412306100000;Fri Oct 03 05:15:00 CEST 2014;91.39 91.53 Oct 3 05:15 91.53 91.39
91.53;91.59;91.61;91.49;1412306400000;Fri Oct 03 05:20:00 CEST 2014;91.53 91.61 Oct 3 05:20 91.59 91.49
91.59;91.58;91.61;91.57;1412306700000;Fri Oct 03 05:25:00 CEST 2014;91.59 91.61 Oct 3 05:25 91.58 91.57
91.58;91.57;91.58;91.56;1412307000000;Fri Oct 03 05:30:00 CEST 2014;91.58 91.58 Oct 3 05:30 91.57 91.56
91.57;91.56;91.57;91.54;1412307300000;Fri Oct 03 05:35:00 CEST 2014;91.57 91.57 Oct 3 05:35 91.56 91.54
91.56;91.57;91.59;91.56;1412307600000;Fri Oct 03 05:40:00 CEST 2014;91.56 91.59 Oct 3 05:40 91.57 91.56
91.57;91.69;91.69;91.57;1412307900000;Fri Oct 03 05:45:00 CEST 2014;91.57 91.69 Oct 3 05:45 91.69 91.57
91.69;91.69;91.71;91.69;1412308200000;Fri Oct 03 05:50:00 CEST 2014;91.69 91.71 Oct 3 05:50 91.69 91.69
91.69;91.68;91.69;91.68;1412308500000;Fri Oct 03 05:55:00 CEST 2014;91.69 91.69 Oct 3 05:55 91.68 91.68
91.68;91.68;91.68;91.66;1412308800000;Fri Oct 03 06:00:00 CEST 2014;91.68 91.68 Oct 3 06:00 91.68 91.66
91.68;91.72;91.72;91.67;1412309100000;Fri Oct 03 06:05:00 CEST 2014;91.68 91.72 Oct 3 06:05 91.72 91.67
91.72;91.73;91.73;91.71;1412309400000;Fri Oct 03 06:10:00 CEST 2014;91.72 91.73 Oct 3 06:10 91.73 91.71
91.73;91.58;91.73;91.57;1412309700000;Fri Oct 03 06:15:00 CEST 2014;91.73 91.73 Oct 3 06:15 91.58 91.57
91.58;91.57;91.59;91.57;1412310000000;Fri Oct 03 06:20:00 CEST 2014;91.58 91.59 Oct 3 06:20 91.57 91.57
91.57;91.54;91.59;91.54;1412310300000;Fri Oct 03 06:25:00 CEST 2014;91.57 91.59 Oct 3 06:25 91.54 91.54
91.54;91.54;91.57;91.52;1412310600000;Fri Oct 03 06:30:00 CEST 2014;91.54 91.57 Oct 3 06:30 91.54 91.52
91.54;91.47;91.54;91.47;1412310900000;Fri Oct 03 06:35:00 CEST 2014;91.54 91.54 Oct 3 06:35 91.47 91.47
91.47;91.49;91.49;91.47;1412311200000;Fri Oct 03 06:40:00 CEST 2014;91.47 91.49 Oct 3 06:40 91.49 91.47
91.49;91.54;91.54;91.49;1412311500000;Fri Oct 03 06:45:00 CEST 2014;91.49 91.54 Oct 3 06:45 91.54 91.49
91.54;91.53;91.54;91.52;1412311800000;Fri Oct 03 06:50:00 CEST 2014;91.54 91.54 Oct 3 06:50 91.53 91.52
91.53;91.56;91.56;91.53;1412312100000;Fri Oct 03 06:55:00 CEST 2014;91.53 91.56 Oct 3 06:55 91.56 91.53
91.56;91.57;91.59;91.56;1412312400000;Fri Oct 03 07:00:00 CEST 2014;91.56 91.59 Oct 3 07:00 91.57 91.56
91.57;91.58;91.59;91.56;1412312700000;Fri Oct 03 07:05:00 CEST 2014;91.57 91.59 Oct 3 07:05 91.58 91.56
91.58;91.59;91.63;91.58;1412313000000;Fri Oct 03 07:10:00 CEST 2014;91.58 91.63 Oct 3 07:10 91.59 91.58
91.59;91.57;91.59;91.56;1412313300000;Fri Oct 03 07:15:00 CEST 2014;91.59 91.59 Oct 3 07:15 91.57 91.56
91.57;91.51;91.57;91.51;1412313600000;Fri Oct 03 07:20:00 CEST 2014;91.57 91.57 Oct 3 07:20 91.51 91.51
91.51;91.54;91.57;91.51;1412313900000;Fri Oct 03 07:25:00 CEST 2014;91.51 91.57 Oct 3 07:25 91.54 91.51
91.54;91.48;91.54;91.48;1412314200000;Fri Oct 03 07:30:00 CEST 2014;91.54 91.54 Oct 3 07:30 91.48 91.48
91.48;91.51;91.59;91.48;1412314500000;Fri Oct 03 07:35:00 CEST 2014;91.48 91.59 Oct 3 07:35 91.51 91.48
91.51;91.53;91.56;91.51;1412314800000;Fri Oct 03 07:40:00 CEST 2014;91.51 91.56 Oct 3 07:40 91.53 91.51
91.53;91.46;91.54;91.46;1412315100000;Fri Oct 03 07:45:00 CEST 2014;91.53 91.54 Oct 3 07:45 91.46 91.46
